section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,78,1765440770958791657,1765440771093915657,135,820.292,438.053,1.3266111220799073,9.43405347279848
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,79,1765440771134040657,1765440771429287657,295,728.174,439.659,-4.670814318333259,9.320180783621263
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,80,1765440771579411657,1765440771809659657,230,902.293,485.709,6.633417413965979,6.344263242675443
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,81,1765440771859659657,1765440772089907657,230,823.045,622.138,1.4953028032751852,-2.4511786727360683
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,82,1765440772139907657,1765440772350155657,210,866.071,481.658,4.289152225121574,6.6156295992500525
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,83,1765440772390158657,1765440772705402657,315,827.254,620.183,1.7672404448257566,-2.324678144293758
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,84,1765440772880651657,1765440773155898657,275,862.76,500.676,4.069240278784547,5.390232588378174
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,85,1765440773245898657,1765440773466146657,220,552.288,442.727,-16.087248822644106,8.996859178844076
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,86,1765440773671395657,1765440774006642657,335,903.343,512.226,6.690068573280484,4.636930450168867
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,87,1765440774151775657,1765440774417014657,265,484.219,497.42,-20.390917400971617,5.46989008321195
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,88,1765440774447013657,1765440774632262657,185,526.659,495.52,-17.6625477842003,5.623427025566261
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,89,1765440774672262657,1765440774857510657,185,500.764,494.739,-19.330200307144775,5.6526237539550745
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,90,1765440774882510657,1765440775413009657,530,473.737,513.137,-21.04485926870357,4.47198289041379
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,91,1765440775598135657,1765440775963505657,365,977.452,578.969,11.450694761566767,0.33479942042567756
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,92,1765440776093626657,1765440776243749657,150,1186.558,447.533,25.025502371424064,8.50574277845128
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,93,1765440776438879657,1765440776764245657,325,703.384,620.39,-6.237074949735257,-2.333473555944254
